STT,Thông tin sản phẩm,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Thuộc tính động,Unnamed: 20
,Mã SP,Tên viết tắt,Trạng thái,Đơn vị tính lẻ,Đơn vị tính chẵn,Quy cách,Ngành hàng,Tên ngành hàng,Ngành hàng con,Tên ngành hàng con,Loại bao bì,Tên bao bì,Số thứ tự,Khối lượng tịnh (kg),Tổng khối lượng (kg),Mã vạch (Barcode),Hạn sử dụng,Hạn sử dụng (ĐVT),Mã số phân bón,Tự doanh
0.0,TP00000547,NPK PM 17-15-9+10S+TE - Bao 25kg,Hoạt động,Bao,Tấn,40,NPK,Phân NPK,NPK_221,NPK 221,BAO25,Bao 25kg,145,,,,,,,
0.0,TP00000553,NPK PM 17-7-17+TE - Bao 25kg L1,Hoạt động,Bao,Tấn,40,NPK,Phân NPK,NPK_212,NPK 212,BAO25,Bao 25kg,147,,,,,,,
0.0,TP00000524,NPK PM 15-15-15+TE - Bao 25 kg L1,Hoạt động,Bao,Tấn,40,NPK,Phân NPK,NPK_221,NPK 221,BAO25,Bao 25kg,148,,,,,,,
0.0,TP00000541,NPK PM 17-17-8+10S+TE - Bao 25kg,Hoạt động,Bao,Tấn,40,NPK,Phân NPK,NPK_221,NPK 221,BAO25,Bao 25kg,149,,,,,,,
0.0,TP00000559,NPK PM 16-7-17+TE - Bao 25kg L1,Hoạt động,Bao,Tấn,40,NPK,Phân NPK,NPK_212,NPK 212,BAO25,Bao 25kg,156,,,,,,,
0.0,TP00000565,NPK PM 16-8-17+TE - Bao 25 kg L1,Hoạt động,Bao,Tấn,40,NPK,Phân NPK,NPK_212,NPK 212,BAO25,Bao 25kg,163,,,,,,,
0.0,PB00000429,NPK PM 16-8-16 - NM 50kg,Hoạt động,Bao,Tấn,20,NPK,Phân NPK,NPK_212,NPK 212,BAO50,Bao 50kg,166,,,,,,,
0.0,PB00000430,NPK PM 16-8-16 - NM 25kg,Hoạt động,Bao,Tấn,40,NPK,Phân NPK,NPK_212,NPK 212,BAO25,Bao 25kg,167,,,,,,,
0.0,PB00000325,NPK PM 16-8-16 - hàng bao,Hoạt động,Bao,Tấn,20,NPK,Phân NPK,NPK_212,NPK 212,,,168,,,,,,,
0.0,PB00000432,NPK PM 16-8-16 - NM xá,Hoạt động,kg,Tấn,1000,NPK,Phân NPK,NPK_212,NPK 212,HANGXA,Hàng xá,170,,,,,,,
0.0,PB00000348,NPK PM 16-8-16+TE - bao PVFCCo,Hoạt động,Bao,Tấn,20,NPK,Phân NPK,NPK_212,NPK 212,,,171,,,,,,,
0.0,PB00000063,SA hạt trung Nhật - xá,Hoạt động,kg,Tấn,1000,HONHOP,Phân hỗn hợp,HH_SA,SA,HANGXA,Hàng xá,172,,,,,,,
0.0,PB00000351,NPK PM 15-15-15+TE 50kg,Hoạt động,Bao,Tấn,20,NPK,Phân NPK,NPK_111,NPK 111,BAO50,Bao 50kg,903,,,,,,,
0.0,TP00000678,NPK PM 16-8-16+TE + BiO 50kg L1,Hoạt động,Bao,Tấn,20,NPK,Phân NPK,NPK_212,NPK 212,BAO50,Bao 50kg,904,,,,,,,
0.0,TP00000657,NPK PM 16-16-8+13S+TE + BiO 50kg L1,Hoạt động,Bao,Tấn,20,NPK,Phân NPK,NPK_221,NPK 221,BAO50,Bao 50kg,905,,,,,,,
0.0,CC30001052,"Nước rửa chén Mỹ Hảo 1,5kg",Hoạt động,Bao,Bao,1,POSM,Khuyến mãi,HOAPHAM,Hoá phẩm,,,999,,,,,,,
0.0,TP00000642,NPK PM 18-12-8+TE Bao 50 kg L1,Hoạt động,Bao,Tấn,20,NPK,Phân NPK,NPK_211,NPK 211,BAO50,Bao 50kg,1096,,,,,,,
0.0,TP00000648,NPK PM 18-10-8+8S+TE Bao 50 kg L1,Hoạt động,Bao,Tấn,20,NPK,Phân NPK,NPK_211,NPK 211,BAO50,Bao 50kg,1097,,,,,,,
