STT,Mã đơn vị ,Tên đơn vị ,Tên viết tắt,Loại đơn vị,Tên đơn vị cha,Trạng thái
86,C1VTNNTTHUE,Công ty CP VTNN Thừa Thiên Huế,VTNN Thừa Thiên Huế,C1,Tỉnh Thừa Thiên Huế,Hoạt động
87,CTMB,C1 Công ty MB,C1MB,C1,Thành phố Hà Nội,Hoạt động
88,DAKLAK,Tỉnh Đắk Lắk,Đắk Lắk,TỈNH,Khu vực Miền Trung,Hoạt động
89,DAKNONG,Tỉnh Đắk Nông,Tỉnh Đắk Nông,TỈNH,Khu vực Đông Nam Bộ,Hoạt động
90,DANANG,TP. Đà Nẵng,Đà Nẵng,TỈNH,Khu vực Miền Trung,Hoạt động
91,DONGNAI,Tỉnh Đồng Nai,Tỉnh Đồng Nai,TỈNH,Khu vực Đông Nam Bộ,Hoạt động
92,DONGTHAP,Tỉnh Đồng Tháp,Đồng Tháp,TỈNH,Khu vực Tây Nam Bộ,Hoạt động
93,GIALAI,Tỉnh Gia Lai,Gia Lai,TỈNH,Khu vực Miền Trung,Hoạt động
94,HAIDUONG,Tỉnh Hải Dương,Hải Dương,TỈNH,Khu vực Miền Bắc,Hoạt động
95,HAIPHONG,Thành phố Hải Phòng,Hải Phòng,TỈNH,Khu vực Miền Bắc,Hoạt động
96,HANAM,Tỉnh Hà Nam,Hà Nam,TỈNH,Khu vực Miền Bắc,Hoạt động
97,HANOI,Thành phố Hà Nội,Hà Nội,TỈNH,Khu vực Miền Bắc,Hoạt động
98,HATINH,Tỉnh Hà Tĩnh,Hà Tĩnh,TỈNH,Khu vực Miền Bắc,Hoạt động
99,HAUGIANG,Tỉnh Hậu Giang,Hậu Giang,TỈNH,Khu vực Tây Nam Bộ,Hoạt động
100,HOABINH,Tỉnh Hòa Bình,Hòa Bình,TỈNH,Khu vực Miền Bắc,Hoạt động
101,HUNGYEN,Tỉnh Hưng Yên,Hưng Yên,TỈNH,Khu vực Miền Bắc,Hoạt động
102,KENH,Kênh phân phối truyền thống,Kênh PP Truyền thống,KÊNH GT,Phân Bón Phú Mỹ,Hoạt động
103,KENHDT,Kênh đào tạo,Kênh đào tạo,KÊNH GT,Phân Bón Phú Mỹ,Hoạt động
104,KHANHHOA,Tỉnh Khánh Hòa,Khánh Hòa,TỈNH,Khu vực Miền Trung,Hoạt động
105,KIENGIANG,Tỉnh Kiên Giang,Kiên Giang,TỈNH,Khu vực Tây Nam Bộ,Hoạt động
106,KONTUM,Tỉnh Kon Tum,Kon Tum,TỈNH,Khu vực Miền Trung,Hoạt động
107,KVDNB,Khu vực Đông Nam Bộ,KVDNB,KHU VỰC,Công ty Đông Nam Bộ,Hoạt động
108,KVDT1,KV Đào tạo 1,KV DT1,KHU VỰC,Vùng đào tạo 1,Hoạt động
