date,url_list,Webste,Title,Sapo,Content
31/10/2023,https://petrotimes.vn/tac-pham-du-thi-petrovietnam-trong-toi-bo-anh-tui-rat-ung-cai-bung-tac-gia-thach-khanh-linh-pvfcco-697953.html,petrotimes.vn,titleDtails __MB_MASTERCMS_EL clearfix,sapo __MB_MASTERCMS_EL clearfix,boxTextDtails __MASTERCMS_CONTENT __MB_CONTENT_FOR_PRINTER
28/11/2023,https://petrovietnam.petrotimes.vn/can-thong-nhat-doan-ket-chia-se-hop-tac-de-hoan-thanh-giac-mo-lon-cua-nganh-dau-khi-700418.html,petrovietnam.petrotimes.vn,titleDtails clearfix,sapo clearfix,boxTextDtails __MASTERCMS_CONTENT __MB_CONTENT_FOR_PRINTER
27/11/2023,https://petrovietnam.petrotimes.vn/cong-doan-dau-khi-viet-nam-dong-hanh-cung-petrovietnam-thuc-hien-mong-uoc-cua-chu-tich-ho-chi-minh-700346.html,petrovietnam.petrotimes.vn,titleDtails clearfix,sapo clearfix,boxTextDtails __MASTERCMS_CONTENT __MB_CONTENT_FOR_PRINTER
27/11/2023,https://petrovietnam.petrotimes.vn/dau-khi-dau-tau-cua-nen-kinh-te-viet-nam-700261.html,petrovietnam.petrotimes.vn,titleDtails clearfix,sapo clearfix,boxTextDtails __MASTERCMS_CONTENT __MB_CONTENT_FOR_PRINTER
24/11/2023,https://petrovietnam.petrotimes.vn/hoi-dap-ve-van-hoa-petrovietnam-ung-dung-ai-dau-tien-trong-linh-vuc-van-hoa-doanh-nghiep-700173.html,petrovietnam.petrotimes.vn,titleDtails clearfix,sapo clearfix,boxTextDtails __MASTERCMS_CONTENT __MB_CONTENT_FOR_PRINTER
23/11/2023,https://petrovietnam.petrotimes.vn/pvfcco-to-chuc-toa-dam-ve-phong-chong-toi-pham-su-dung-cong-nghe-cao-699937.html,petrovietnam.petrotimes.vn,titleDtails clearfix,sapo clearfix,boxTextDtails __MASTERCMS_CONTENT __MB_CONTENT_FOR_PRINTER
16/11/2023,https://petrovietnam.petrotimes.vn/vinh-danh-4-doanh-nghiep-dau-khi-phat-trien-ben-vung-vi-cong-dong-699488.html,petrovietnam.petrotimes.vn,titleDtails clearfix,sapo clearfix,boxTextDtails __MASTERCMS_CONTENT __MB_CONTENT_FOR_PRINTER
15/11/2023,https://petrovietnam.petrotimes.vn/fitch-du-doan-gia-dau-se-tang-len-120-usd-699288.html,petrovietnam.petrotimes.vn,titleDtails clearfix,sapo clearfix,boxTextDtails __MASTERCMS_CONTENT __MB_CONTENT_FOR_PRINTER
15/11/2023,https://petrovietnam.petrotimes.vn/gia-xang-dau-hom-nay-1511-dau-tho-giam-nhe-699355.html,petrovietnam.petrotimes.vn,titleDtails clearfix,sapo clearfix,boxTextDtails __MASTERCMS_CONTENT __MB_CONTENT_FOR_PRINTER
14/11/2023,https://petrovietnam.petrotimes.vn/can-trong-voi-tin-tuyen-dung-lua-dao-gia-mao-thuong-hieu-dau-khi-699305.html,petrovietnam.petrotimes.vn,titleDtails clearfix,sapo clearfix,boxTextDtails __MASTERCMS_CONTENT __MB_CONTENT_FOR_PRINTER
10/11/2023,https://petrovietnam.petrotimes.vn/gia-xang-dau-hom-nay-1011-dau-tho-di-ngang-699024.html,petrovietnam.petrotimes.vn,titleDtails clearfix,sapo clearfix,boxTextDtails __MASTERCMS_CONTENT __MB_CONTENT_FOR_PRINTER
09/11/2023,https://petrovietnam.petrotimes.vn/ky-2-chia-khoa-vang-cua-petrovietnam-698784.html,petrovietnam.petrotimes.vn,titleDtails clearfix,sapo clearfix,boxTextDtails __MASTERCMS_CONTENT __MB_CONTENT_FOR_PRINTER
09/11/2023,https://petrovietnam.petrotimes.vn/petrovietnam-tai-tao-de-phat-trien-698945.html,petrovietnam.petrotimes.vn,titleDtails clearfix,sapo clearfix,boxTextDtails __MASTERCMS_CONTENT __MB_CONTENT_FOR_PRINTER
